title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,contains_hacks,contains_life,contains_ideas,all_words_uppercase,all_words_lowercase
SUPER LAZY LIFE HACKS || Cool Hacks To Make Your Life Easier,22,623,295614,60,12,2,4,0,2,5.0,0,0,0.1444444444444444,True,True,False,False,False
YUM! EASY SMART FOOD HACKS || Tasty Recipes For The Whole Family & Ideas To Avoid Fails,1,739,130544,87,17,4,5,0,3,5.117647058823529,0,0,0.0869047619047619,True,False,True,False,False
HELPFUL LIFE HACKS FOR YOUR HOUSE,1,960,17834,33,6,0,6,0,2,5.5,0,0,0.0,True,True,False,True,False
USEFUL HACKS FOR YOUR HOME || Simple Tips That Work Extremely Well,30,833,3128867,66,12,2,5,0,3,5.5,0,0,0.0583333333333333,True,False,False,False,False
ARE YOU A CRAFTY MOM? Amazing Parenting Hacks And Crafts,15,3600,4210362,56,10,1,5,0,4,5.6,0,0,0.5,True,False,False,False,False
100+ HACKS & GADGETS FOR COOL PARENTS,6,3600,90733,37,7,2,5,0,1,5.285714285714286,1,1,0.35,True,False,False,True,False
30 BEST HACKS FOR EVERY LIFE SITUATION,60,900,1081439,38,7,0,6,0,1,5.428571428571429,1,1,1.0,True,True,False,True,False
KID'S ROOM MAKEOVER IDEAS || Awesome Home Decorating Hacks,2,3660,582492,58,9,3,4,0,0,6.444444444444445,0,0,1.0,True,False,True,False,False
Brilliant Clothing Hacks For Adults and Their Kids,3,900,471701,50,8,0,0,1,3,6.25,0,0,0.9,True,False,False,False,False
BRILLIANT LIFE HACKS FOR ANY SITUATION,90,3600,11175800,38,6,0,6,0,2,6.333333333333333,0,0,0.9,True,True,False,True,False
OMG! Smart Pet Owners Should See These Gadgets & Hacks,2,900,169398,54,10,2,1,0,2,5.4,0,0,0.2142857142857142,True,False,False,False,False
CLEVER WAYS TO HIDE YOUR TREASURES || Useful Home Hacks & Tips,3,960,179509,62,12,3,6,0,2,5.166666666666667,0,0,0.2333333333333333,True,False,False,False,False
SMART GADGETS TO MAKE YOUR LIFE EASIER,3,711,495602,38,7,0,7,0,2,5.428571428571429,0,0,0.2142857142857142,False,True,False,True,False
SOAP BUBBLES CHALLENGE with 5-MINUTE CRAFTS #shorts,4,12,335063,51,7,2,5,1,1,7.285714285714286,1,0,0.0,False,False,False,False,False
GENIUS SCHOOL HACKS and TIPS FOR PARENTS,5,900,1639826,40,7,0,6,1,2,5.714285714285714,0,0,0.0,True,False,False,False,False
LOW-BUDGET ROOM MAKEOVER IDEAS || Smart Repair Hacks & Tricks,5,960,441260,61,10,4,4,0,0,6.1,0,0,0.2142857142857142,True,False,True,False,False
These Awesome Cleaning Hacks Will Blow Your Mind 🤯 #shorts,6,60,425344,58,10,1,0,0,3,5.8,0,0,1.0,True,False,False,False,False
BEST GADGETS FOR SMART PARENTS,6,960,125342,30,5,0,5,0,1,6.0,0,0,0.6071428571428571,False,False,False,True,False
Amazing Beauty Ideas & Gadgets You Need To See,7,960,393097,46,9,1,0,0,2,5.111111111111111,0,0,0.6000000000000001,False,False,True,False,False
MEGA PARENTING COMPILATION || Best DIYs & Hacks For Parents,7,4260,1856595,59,10,3,3,0,1,5.9,0,0,1.0,True,False,False,False,False
YUMMY TIKTOK DESSERTS || Recipes You Can Make In 5 Minutes,8,533,480102,58,11,2,3,0,3,5.2727272727272725,1,0,0.0,False,False,False,False,False
Must-Have Kitchen Gadgets & Hacks To Boost Your Cooking Skills,8,1080,232200,62,10,2,0,0,2,6.2,0,0,0.0,True,False,False,False,False
WOW! 5-MINUTE CRAFTS CITY GAME 🎮 #shorts,9,18,122390,40,7,3,5,0,0,5.714285714285714,1,0,-0.1375,False,False,False,False,False
BEST ART HACKS & SCHOOL CRAFTS YOU NEED TO TRY,9,3660,1120865,46,10,1,9,0,2,4.6,0,0,1.0,True,False,False,True,False
How to Make DALGONA CANDY From SQUID GAME || Easy Desserts & Sweet Hacks,10,960,377099,72,14,3,4,1,3,5.142857142857143,0,0,0.1277777777777777,True,False,False,False,False
USEFUL HACKS & TRENDY GADGETS Everyone Should See,10,900,615448,49,8,1,4,0,1,6.125,0,0,0.4499999999999999,True,False,False,False,False
GENIUS OUTDOOR HACKS EVERYONE SHOULD KNOW,10,581,1023475,41,6,0,6,0,1,6.833333333333333,0,0,0.0,True,False,False,True,False
PIE FACE CHALLENGE WITH 5-MINUTE CRAFTS #shorts,11,34,15838158,47,7,2,6,0,1,6.714285714285714,1,0,0.0,False,False,False,False,False
SURPRISING HACKS FOR ALL OCCASIONS,12,960,363289,34,5,0,5,0,2,6.8,0,0,0.7,True,False,False,True,False
"AWESOME HACKS FOR PET OWNERS || Cute DIYs, Fun Toys and Useful Gadgets",12,900,2641000,70,13,3,5,1,2,5.384615384615385,0,0,0.525,True,False,False,False,False
PRICELESS HACKS & CRAFTS FOR PARENTS and THEIR KIDS,12,960,659551,51,9,1,7,1,3,5.666666666666667,0,0,1.0,True,False,False,False,False
5-MINUTE CRAFTS 5TH ANNIVERSARY CHALLENGE 🥳 #shorts,13,53,207931,51,7,2,5,0,0,7.285714285714286,1,1,0.0,False,False,False,False,False
AMAZING FOOD COMMERCIAL TRICKS || Cool Photo & Video Ideas,10,668,461338,58,10,3,4,0,0,5.8,0,0,0.3166666666666667,False,False,True,False,False
POSITIVE PARENTING TIPS || Best Crafts and Hacks For Smart Moms and Dads,10,3600,2741892,72,13,2,3,2,3,5.538461538461538,0,0,0.4805194805194805,True,False,False,False,False
